Gene names,UniProt Accession Number,direction,basis,Intensity 31578,Intensity 31580,Intensity 31579,Intensity 31581,note
Acox1,Q9R0H0,UP,treated_only,88061000.0,29174000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Acsbg1,Q99PU5,UP,treated_only,44244000.0,19826000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Actbl2,Q8BFZ3,UP,treated_only,46166000.0,51745000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Actc1;Acta1;Acta2;Actg2,P68033;P68134;P62737;P63268,UP,treated_only,5362400000.0,7136700000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Adal,Q80SY6,UP,treated_only,15350000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Adam12,Q61824,UP,treated_only,0.0,108670000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Adam19,O35674,UP,treated_only,0.0,22911000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Adamts7,Q68SA9,UP,treated_only,2337100.0,14015000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Adamtsl2,Q7TSK7,UP,treated_only,0.0,16245000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Add1,Q9QYC0,UP,treated_only,10828000.0,107240000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Afg3l2,Q8JZQ2,UP,treated_only,130030000.0,171330000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Ago1;Ago3,Q8CJG1;Q8CJF9,UP,treated_only,45170000.0,43136000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Akap13,E9Q394,UP,treated_only,60463000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Akap2,O54931,UP,treated_only,5562600.0,42274000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Akr1e2,Q9DCT1,UP,treated_only,14942000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Akt1,P31750,UP,treated_only,0.0,40637000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Alkbh6,Q8K2U2,UP,treated_only,25375000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Ambp,Q07456,UP,treated_only,9606100.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Angptl2,Q9R045,UP,treated_only,0.0,57191000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Angptl4,Q9Z1P8,UP,treated_only,29835000.0,85799000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Angptl7,Q8R1Q3,UP,treated_only,0.0,215370000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Ankk1,Q8BZ25,UP,treated_only,448170000.0,687700000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Anxa1;Arid1a,P10107;A2BH40,UP,treated_only,0.0,39479000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Ap2a1,P17426,UP,treated_only,142760000.0,102940000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Appl1,Q8K3H0,UP,treated_only,0.0,19682000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Aprt,P08030,UP,treated_only,22597000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Arpp19,P56212,UP,treated_only,82168000.0,13700000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Arrb1,Q8BWG8,UP,treated_only,0.0,46905000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Asns,Q61024,UP,treated_only,60055000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Atp2a1;Atp2a2,Q8R429;O55143,UP,treated_only,10546000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Atp6v1e1;Atp6v1e2,P50518;Q9D593,UP,treated_only,61988000.0,114910000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Auh,Q9JLZ3,UP,treated_only,7131500.0,15484000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Avp,P35455,UP,treated_only,66987000.0,258960000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
B3gnt7,Q8K0J2,UP,treated_only,0.0,43473000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Bag3,Q9JLV1,UP,treated_only,11619000.0,20798000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Bicd2,Q921C5,UP,treated_only,469520000.0,196470000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Bloc1s2,Q9CWG9,UP,treated_only,3234300.0,10186000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Bmper,Q8CJ69,UP,treated_only,44618000.0,23150000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Boc,Q6AZB0,UP,treated_only,0.0,20137000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Brcc3,P46737,UP,treated_only,22277000.0,13681000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Brox,Q8K2Q7,UP,treated_only,0.0,55672000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Bsg,P18572,UP,treated_only,33966000.0,37148000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Btd,Q8CIF4,UP,treated_only,189620000.0,113300000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Btf3,Q64152,UP,treated_only,33844000.0,8192200.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Btf3l4,Q9CQH7,UP,treated_only,86133000.0,12659000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Calm1,P62204,UP,treated_only,10589000000.0,5751100000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Camk2a;Camk2d;Camk2g;Camk2b,P11798;Q6PHZ2;Q923T9;P28652,UP,treated_only,0.0,2298900.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Carkd,Q9CZ42,UP,treated_only,12558000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Casq2,O09161,UP,treated_only,470580000.0,1021600000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Cbfb,Q08024,UP,treated_only,73816000.0,40407000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Ccar2,Q8VDP4,UP,treated_only,14849000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Ccl9,P51670,UP,treated_only,301610.0,1783800.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Cd109,Q8R422,UP,treated_only,0.0,35051000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Cdh17,Q9R100,UP,treated_only,0.0,11935000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Cdk1;Cdk3,P11440;Q80YP0,UP,treated_only,71480000.0,86849000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Cdnf,Q8CC36,UP,treated_only,7763600.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Celsr2,Q9R0M0,UP,treated_only,0.0,34762000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Cfap20,Q8BTU1,UP,treated_only,39469000.0,2634600.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Cga,P01216,UP,treated_only,1316800000.0,877340000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Chd1,P40201,UP,treated_only,0.0,31919000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Chd4,Q6PDQ2,UP,treated_only,17247000.0,29753000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Chkb,O55229,UP,treated_only,10294000.0,29081000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Chmp1b2;Chmp1b1,Q9CQD4;Q99LU0,UP,treated_only,0.0,41085000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Chmp5,Q9D7S9,UP,treated_only,50272000.0,9426700.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Ciapin1,Q8WTY4,UP,treated_only,103070000.0,43232000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Ckm,P07310,UP,treated_only,0.0,6306300.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Clec12b,Q149M0,UP,treated_only,68415000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Clgn,P52194,UP,treated_only,23496000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Clic5,Q8BXK9,UP,treated_only,19606000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Clint1,Q99KN9,UP,treated_only,2674700.0,4899100.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Cmc1,Q9CPZ8,UP,treated_only,0.0,4801000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Cmc4,Q61908,UP,treated_only,6420900.0,5778200.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
COA4,Q8BT51,UP,treated_only,8313900.0,3247200.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Col6a5,A6H584,UP,treated_only,0.0,57791000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Commd4,Q9CQ02,UP,treated_only,14146000.0,6063200.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Cpox,P36552,UP,treated_only,133860000.0,13149000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Cpxm1,Q9Z100,UP,treated_only,13566000.0,83346000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Cryzl1,Q921W4,UP,treated_only,155240000.0,14798000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Csrp2,P97314,UP,treated_only,0.0,5767400.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Cthrc1,Q9D1D6,UP,treated_only,0.0,21060000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Ctnnb1,Q02248,UP,treated_only,0.0,37742000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Ctsf,Q9R013,UP,treated_only,88269000.0,67971000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Ctsk,P55097,UP,treated_only,33218000.0,29155000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Ctss,O70370,UP,treated_only,21963000.0,34018000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Cyb5b,Q9CQX2,UP,treated_only,13127000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Dbnl,Q62418,UP,treated_only,17445000.0,7862800.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Dctd,Q8K2D6,UP,treated_only,3476000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Dctn6,Q9WUB4,UP,treated_only,13977000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Ddi2,A2ADY9,UP,treated_only,18604000.0,15715000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Ddx3y;D1Pas1;Ddx3x,Q62095;P16381;Q62167,UP,treated_only,8922300.0,8252300.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Ddx5,Q61656,UP,treated_only,40599000.0,41609000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Ddx58,Q6Q899,UP,treated_only,59059000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Dis3,Q9CSH3,UP,treated_only,13644000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Dnajc1,Q61712,UP,treated_only,11736000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Dnajc2,P54103,UP,treated_only,5392600.0,7571100.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Dnajc3,Q91YW3,UP,treated_only,93185000.0,219280000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Dnajc7,Q9QYI3,UP,treated_only,13050000.0,2037600.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Dnase1l2,Q9D1G0,UP,treated_only,2648400.0,1702600.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Dpp4,P28843,UP,treated_only,0.0,17837000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Drap1,Q9D6N5,UP,treated_only,13638000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Dsc1,P55849,UP,treated_only,2720700.0,79762000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Dsg1c;Dsg1a;Dsg1b,Q7TSF0;Q61495;Q7TSF1,UP,treated_only,72049000.0,7722600.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Dusp23,Q6NT99,UP,treated_only,2749300.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Dync1i2,O88487,UP,treated_only,57516000.0,33284000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Echdc1,Q9D9V3,UP,treated_only,46078000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Ehd2,Q8BH64,UP,treated_only,6457900.0,2630100.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Eif2b2,Q99LD9,UP,treated_only,11513000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Eif4e2,Q8BMB3,UP,treated_only,0.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Eif4ebp2,P70445,UP,treated_only,16106000.0,7366700.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Eif5b,Q05D44,UP,treated_only,0.0,9044900.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Eprs,Q8CGC7,UP,treated_only,7539700.0,9000000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Eps15,P42567,UP,treated_only,59579000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Exosc7,Q9D0M0,UP,treated_only,73649000.0,52300000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
FAM120A,Q6A0A9,UP,treated_only,13542000.0,3184600.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Fam169a,Q5XG69,UP,treated_only,12902000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Fam172a,Q3TNH5,UP,treated_only,6688800.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Fam195b,Q3UGS4,UP,treated_only,4973100.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Fat2,Q5F226,UP,treated_only,0.0,9272700.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Fdx1l,Q9CPW2,UP,treated_only,0.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Fhit,O89106,UP,treated_only,11651000.0,0.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Fhl1,P97447,UP,treated_only,25937000.0,23732000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Fuom,Q8R2K1,UP,treated_only,20620000.0,15239000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
Fut11,Q8BHC9,UP,treated_only,0.0,43036000.0,,,"qualitative: identified in only one condition -- the protein's entire row is absent from the other MaxQuant sheet, not just zero. No fold change or p-value is statistically valid when one condition has zero data points."
